[2025-09-17 08:58:45,502] INFO | No users file in Developer
[2025-09-17 08:59:23,529] INFO | No users file in Developer
[2025-09-17 08:59:47,812] INFO | Deleted user from Developer: {'name': '123', 'email': 'matin@gmail.com', 'password': 'cockisdl', 'role': 'Developer', 'id': 1}
[2025-09-17 08:59:47,812] INFO | Deleted user from Developer: {'name': 'faac', 'email': 'matin@gmail.com', 'password': 'cockisdl', 'role': 'Developer', 'id': 3}
[2025-09-17 08:59:47,812] INFO | Deleted user from Developer: {'name': 'Matin', 'email': 'matin@gmail.com', 'password': 'cockisdl', 'role': 'Developer', 'id': 4}
[2025-09-17 09:02:35,701] INFO | Deleted user from Developer: {'name': '123', 'email': 'matin@gmail.com', 'password': 'cockisdl', 'role': 'Developer', 'id': 1}
[2025-09-17 09:03:16,802] INFO | Deleted user from Developer: {'name': 'faac', 'email': 'matin@gmail.com', 'password': 'cockisdl', 'role': 'Developer', 'id': 3}
[2025-09-17 09:06:54,901] INFO | Deleted user from Developer: id:2 name:123
[2025-09-17 09:10:33,278] INFO | Selected for delete in Developer: id:3 name:faac
[2025-09-17 09:10:36,036] INFO | Deleted user from Developer: id:3 name:faac
[2025-09-17 09:16:01,147] INFO | Selected for delete in Developer: id:3 name:faac
[2025-09-17 09:16:02,903] INFO | Deleted user from Developer: id:3 name:faac
